;icao_code_hex;iata_type;first_flight_date;avg_duration
9;4A0833;B737-400;1992-09-09T22:00:00+00:00;87.95298245614035
13;4A09A1;B737-700;2002-12-19T23:00:00+00:00;153.5714285714286
14;4A09A2;B737-800;1998-12-13T23:00:00+00:00;115.162672476398
15;451E91;A319-100;2007-06-03T22:00:00+00:00;211.8620689655172
19;451D87;A320-200;2006-07-03T22:00:00+00:00;107.5067985166873
20;451DB0;A320-200;2007-04-05T22:00:00+00:00;132.5897435897436
21;A4003D;B727-100;;83.00829875518673
22;A407AB;B727-100;;73.97457627118644
31;1506A0;CL-600-2B19;;91.61224489795919
40;424540;CL-600-2B19;2000-02-29T23:00:00+00:00;47.5
47;14F10F;An-148;2011-10-03T22:00:00+00:00;42.65360824742268
48;14F111;An-148;2012-03-21T23:00:00+00:00;38.58279569892473
49;14F112;An-148;2012-09-10T22:00:00+00:00;53.93333333333333
53;4B19E8;F28 MK0100;1994-02-20T23:00:00+00:00;575.5
54;4B19EA;F28 MK0100;1993-05-31T22:00:00+00:00;589.3333333333334
55;4B19EB;F28 MK0100;1993-07-12T22:00:00+00:00;66.98357289527721
56;4B19EC;F28 MK0100;1993-09-28T23:00:00+00:00;72.1453488372093
57;4B19ED;F28 MK0100;1991-01-17T23:00:00+00:00;90.5
59;4B19F1;EMB190-100;2000-10-03T22:00:00+00:00;65.85516093229745
60;4B19F2;EMB190-100;2000-10-03T22:00:00+00:00;66.77937761263354
61;4B19F3;EMB190-100;2000-09-04T22:00:00+00:00;65.5167690127539
62;4B19F4;EMB190-100;2000-09-04T22:00:00+00:00;65.38634192932187
63;4B19F5;EMB190-100;2000-10-08T22:00:00+00:00;63.65610438024231
64;4B19F6;EMB190-100;2011-02-14T23:00:00+00:00;63.63859500634786
65;4B19F7;EMB190-100;;64.47577696526508
69;4AAF09;S340 B;1989-12-21T23:00:00+00:00;34.1445874337623
72;4AB153;S340 B;1990-10-10T23:00:00+00:00;27.23113854595336
